	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10
S009.21	-0.57545521936442	0.234336117486535	-0.0143013678918969	-0.317174671742378	0.142516549794068	-0.0776571842251383	-0.0366705712085808	-0.00606034877429202	-0.0736336928339396	0.0686932916794242
S003.60	-0.453378684525132	-0.142141759809807	0.0154043044020387	-0.319861646296238	0.173497090897783	-0.0311989107533661	-0.135843170925454	0.000859001172690561	0.160429614476769	-0.0110329186781625
S004.121	-0.34314642325335	0.167124967051147	0.00388037971997693	-0.159779204909168	-0.0779556274503178	-0.0397377337027605	0.252608590833505	-0.118490573204188	-0.445403643700264	-0.275826292702694
S004.107	-0.665122192020872	0.18011951448105	-0.0506307218371381	0.271160895491694	-0.117503364873063	0.100906383265743	-0.123878354286202	0.0631444691461591	-0.128520625346223	0.0351854048197553
S009.89	-0.704322660923456	0.181483533983293	-0.039999573771465	0.234498944448073	-0.0849255762258074	0.0590455382510534	-0.0389378209722999	0.0151876314385774	-0.0388386076469531	0.0238696767580032
S011.38	-0.497052627157983	0.00512771201262717	0.04278824873851	0.270811271963803	-0.0746691760051029	0.157343588367523	-0.216433809624685	0.0509282722447924	-0.0576929340662838	-0.165910706428019
S011.30	-0.400708030900738	-0.409763645722388	0.0723017874511759	-0.0100917988645751	-0.102664328504413	-0.00133838836333384	0.00436957913302066	0.0824715017685695	-0.0776965829403716	0.0796021247807961
S004.117	-0.675447127302399	0.188555549091977	-0.0488671572094709	0.226047217128175	-0.112193028561427	0.0564703956707339	0.0286438397871782	-0.0190238194602816	-0.199072386903784	-0.0915165439184554
S009.179	-0.23398733893814	-0.352800652450345	-0.0500443604763133	0.00687914168140895	-0.0469395334354167	-0.158678173806942	0.0881675513453851	0.0586263248320413	-0.0330686653458868	0.155515864597214
S005.7	-0.511594063301466	0.253458822220619	-0.0107309772361528	-0.49927539082349	0.205425820259653	-0.0899048124984329	-0.0786547302925725	-0.0141546114372122	-0.0763609984409449	-0.00248564565376585
S005.44	-0.427746378648361	0.169502400736407	-0.0619191554056313	-0.159590425466709	0.159633296525067	0.193689123574728	0.234778777165906	0.202313389200561	0.0753046743462019	0.105177440207921
S009.124	-0.61494555454162	0.165005305526604	-0.0156176483438115	0.138619811651639	-0.0889223833547721	-0.0175575382699112	0.121416986496563	-0.0736075459146463	-0.16902210774915	-0.0773682223391126
S010.157	-0.36491718220816	-0.0719293984571473	-0.0291170256056804	0.202949892128839	0.00483218578510092	0.0456880488332504	0.0686989661086259	-0.00385514013372246	0.169151559254657	-0.0594855611949512
S005.35	-0.55583054782571	0.230188284890901	-0.0708259941376096	-0.259352418125342	0.244449480470344	0.17705616206467	0.0315837237927406	0.210393634570103	0.120621351391921	0.107061332429063
S011.10	-0.417860872864786	-0.389512782584044	0.058566754176674	0.0136513517194318	-0.102940489269003	0.0107117469537295	-0.014499033964132	0.0838010851886983	-0.0668149977136891	0.0666484382559731
S011.17	-0.523732001115461	-0.0879810330688294	0.00489478851515062	0.260191387436521	-0.0765145367892323	0.145360048197131	-0.22359199474121	0.0184899264794613	0.0071070297771477	-0.124255017266327
